"","x","Group.1"
"1",0.00751951195841333,1
"2",0.00502880262508,2
"3",0.0247054063584333,3
"4",0.0321775343584333,4
"5",0.0291886831584333,5
"6",0.0227128388917667,6
"7",0.0174823492917667,7
"8",0.0157388527584333,8
"9",0.0129990724917667,9
"10",0.0115046468917667,10
"11",0.00976115035842667,11
"12",0.00951207942509,12
"13",0.0100102212917567,13
"14",0.01025929222509,14
"15",0.0112555759584333,15
"16",0.01050836315843,16
"17",0.01050836315843,17
"18",0.0107574340917633,18
"19",0.00926300849175333,19
"20",0.00926300849175333,20
"21",0.0115046468917667,21
"22",0.0229619098251,22
"23",0.0316793924917667,23
"24",0.0249544772917667,24
"25",0.0279433284917667,25
"26",0.0276942575584333,26
"27",0.0232109807584333,27
"28",0.0257016900917667,28
"29",0.0279433284917667,29
"30",0.0232109807584333,30
"31",0.0264489028917667,31
"32",0.0274451866251,32
"33",0.0252035482251,33
"34",0.0259507610251,34
"35",0.0117537178251,35
"36",0.0127500015584333,36
"37",0.01125557595843,37
"38",0.00951207942509,38
"39",0.0117537178250967,39
"40",0.01125557595843,40
"41",0.0102592922251,41
"42",0.0100102212917633,42
"43",0.0105083631584333,43
"44",0.00926300849175667,44
"45",0.00851579569175,45
"46",0.00976115035842667,46
"47",0.00951207942509,47
"48",0.0120027887584333,48
"49",0.0276942575584333,49
"50",0.0366608111584333,50
"51",0.0336719599584333,51
"52",0.0319284634251,52
"53",0.0314303215584333,53
"54",0.0249544772917667,54
"55",0.0257016900917667,55
"56",0.0247054063584333,56
"57",0.0286905412917667,57
"58",0.0247054063584333,58
"59",0.0149916399584333,59
"60",0.0132481434251,60
"61",0.0149916399584333,61
"62",0.0319284634251,62
"63",0.0321775343584333,63
"64",0.0319284634251,64
"65",0.0296868250251,65
"66",0.0274451866251,66
"67",0.0254526191584333,67
"68",0.0259507610251,68
"69",0.0264489028917667,69
"70",0.0279433284917667,70
"71",0.0207202714251,71
"72",0.0125009306251,72
"73",0.0134972143584333,73
"74",0.0192258458251,74
"75",0.0341701018251,75
"76",0.0331738180917667,76
"77",0.0291886831584333,77
"78",0.0259507610251,78
"79",0.0244563354251,79
"80",0.0284414703584333,80
"81",0.0331738180917667,81
"82",0.0299358959584333,82
"83",0.0266979738251,83
"84",0.0269470447584333,84
"85",0.0257016900917667,85
"86",0.0247054063584333,86
"87",0.0182295620917667,87
"88",0.0117537178251,88
"89",0.0129990724917667,89
"90",0.0311812506251,90
"91",0.0314303215584333,91
"92",0.0271961156917667,92
"93",0.0281923994251,93
"94",0.0249544772917667,94
"95",0.0127500015584333,95
"96",0.0152407108917667,96
"97",0.0301849668917667,97
"98",0.0294377540917667,98
"99",0.0304340378251,99
"100",0.0299358959584333,100
"101",0.0309321796917667,101
"102",0.0214674842251,102
"103",0.0147425690251,103
"104",0.0344191727584333,104
"105",0.0306831087584333,105
"106",0.0331738180917667,106
"107",0.0418913007584333,107
"108",0.0456273647584333,108
"109",0.0496124996917667,109
"110",0.0548429892917667,110
"111",0.0588281242251,111
"112",0.0603225498251,112
"113",0.0595753370251,113
"114",0.0633114010251,114
"115",0.0670474650251,115
"116",0.0685418906251,116
"117",0.0710325999584333,117
"118",0.0727760964917667,118
"119",0.0747686639584333,119
"120",0.0752668058251,120
"121",0.0757649476917667,121
"122",0.0752668058251,122
"123",0.0755158767584333,123
"124",0.0762630895584333,124
"125",0.0747686639584333,125
"126",0.0760140186251,126
"127",0.0795010116917667,127
"128",0.0807463663584333,128
"129",0.0795010116917667,129
"130",0.0760140186251,130
"131",0.0692891034251,131
"132",0.0628132591584333,132
"133",0.0563374148917667,133
"134",0.0523522799584333,134
"135",0.0448801519584333,135
"136",0.0428875844917667,136
"137",0.0398987332917667,137
"138",0.0379061658251,138
"139",0.0349173146251,139
"140",0.0319284634251,140
"141",0.0296868250251,141
"142",0.0259507610251,142
